201208241800,1270000,1287000,1264000,1275000,281544
201208271800,1189000,1203000,1173000,1180000,1274633
201208281800,1186000,1209000,1180000,1195000,545913
201208291800,1209000,1235000,1207000,1230000,464041
201208301800,1228000,1229000,1202000,1215000,324228
201208311800,1211000,1234000,1207000,1233000,405776
201209031800,1220000,1235000,1201000,1218000,278076
201209041800,1219000,1228000,1210000,1218000,196921
201209051800,1205000,1212000,1189000,1189000,346899
201209061800,1200000,1203000,1193000,1196000,247303
201209071800,1230000,1251000,1220000,1250000,510248
201209101800,1260000,1264000,1250000,1250000,317674
201209111800,1240000,1265000,1232000,1256000,197816
201209121800,1268000,1295000,1259000,1294000,369465
201209131800,1299000,1305000,1281000,1301000,379622
201209141800,1330000,1339000,1327000,1336000,497450
201209171800,1336000,1336000,1312000,1315000,297920
201209181800,1314000,1336000,1308000,1315000,224646
201209191800,1306000,1323000,1298000,1314000,241313
201209201800,1293000,1305000,1284000,1287000,258972
201209211800,1300000,1307000,1295000,1302000,298168
201209241800,1300000,1328000,1292000,1327000,254542
201209251800,1310000,1334000,1310000,1327000,226434
201209261800,1313000,1325000,1306000,1325000,240091
201209271800,1327000,1342000,1323000,1338000,290832
201209281800,1359000,1360000,1339000,1346000,313511
201210021800,1354000,1371000,1352000,1369000,264547
201210041800,1351000,1373000,1339000,1367000,366514
201210051800,1387000,1390000,1352000,1370000,351414
201210081800,1375000,1379000,1360000,1373000,240184
201210091800,1363000,1381000,1363000,1372000,175773
201210101800,1353000,1360000,1325000,1325000,254345
201210111800,1310000,1320000,1287000,1304000,475597
201210121800,1305000,1312000,1288000,1296000,299432
201210151800,1296000,1312000,1287000,1300000,204029
201210161800,1326000,1331000,1315000,1330000,209805
201210171800,1342000,1346000,1316000,1336000,173455
201210181800,1336000,1341000,1328000,1337000,198073
201210191800,1323000,1325000,1299000,1302000,271715
201210221800,1277000,1317000,1276000,1315000,234223
201210231800,1319000,1322000,1302000,1313000,185071
201210241800,1297000,1309000,1289000,1300000,266275
201210251800,1296000,1322000,1291000,1322000,231804
201210261800,1306000,1312000,1287000,1287000,275877
201210291800,1298000,1299000,1279000,1299000,226493
201210301800,1299000,1304000,1292000,1298000,132741
201210311800,1306000,1312000,1299000,1310000,203697
201211011800,1295000,1302000,1290000,1297000,209112
201211021800,1319000,1333000,1313000,1327000,363000
201211051800,1328000,1349000,1320000,1341000,259241
201211061800,1349000,1349000,1332000,1349000,176293
201211071800,1343000,1362000,1335000,1362000,193528
201211081800,1348000,1357000,1341000,1350000,304532
201211091800,1335000,1351000,1326000,1341000,289893
201211121800,1331000,1347000,1331000,1345000,137579
201211131800,1347000,1349000,1326000,1349000,146517
201211141800,1357000,1357000,1346000,1355000,208720
201211151800,1335000,1338000,1326000,1331000,198694
201211161800,1322000,1326000,1301000,1307000,243451
201211191800,1315000,1342000,1313000,1332000,191250
201211201800,1353000,1365000,1346000,1364000,268232
201211211800,1376000,1397000,1372000,1384000,345858
201211221800,1394000,1419000,1391000,1417000,290065
201211231800,1422000,1442000,1417000,1437000,246441
201211261800,1442000,1443000,1399000,1404000,269353
201211271800,1405000,1428000,1404000,1416000,236192
